cgps,score,placed
8.14,6.52,1
6.17,5.17,0
8.27,8.26,1
7.33,6.48,1
9.42,8.19,1
5.84,3.16,0
6.73,2.38,0
7.92,9.48,1
9.65,7.81,1
5.22,1.92,0
8.41,8.75,1
7.58,5.64,1
9.18,6.91,1
6.44,4.72,0
8.87,9.02,1
7.27,3.81,1
8.09,7.12,1
5.73,4.39,0
7.64,8.13,1
8.92,6.27,1
7.56,3.93,1
6.12,2.81,0
8.72,9.46,1
7.42,6.88,1
9.15,8.93,1
5.96,1.45,0
6.81,4.37,0
7.13,5.29,1
8.66,7.99,1
5.49,3.73,0
7.98,8.31,1
6.33,4.59,0
9.21,7.65,1
8.57,9.71,1
7.46,6.17,1
5.64,2.52,0
6.92,3.94,0
8.83,8.64,1
7.28,5.91,1
9.02,7.43,1
5.85,1.76,0
8.34,8.02,1
6.61,3.62,0
7.73,5.82,1
9.13,9.28,1
5.72,2.84,0
7.64,4.93,1
8.75,7.67,1
6.14,3.15,0
8.22,8.48,1
7.11,5.14,1
9.48,9.84,1
5.43,1.92,0
8.95,8.71,1
7.39,6.33,1
6.03,3.77,0
8.77,7.29,1
7.84,6.85,1
5.96,1.68,0
8.63,8.92,1
7.27,4.81,1
9.04,9.38,1
5.85,2.33,0
8.56,8.22,1
6.77,3.57,0
7.66,6.12,1
9.33,8.59,1
5.91,2.64,0
8.48,8.74,1
7.51,6.48,1
6.18,3.83,0
8.71,7.97,1
7.33,5.52,1
9.17,9.15,1
5.82,1.49,0
8.68,8.55,1
7.44,6.03,1
6.09,2.84,0
8.91,7.42,1
7.63,5.84,1
5.99,2.13,0
8.83,9.14,1
7.26,4.93,1
9.25,9.36,1
5.71,2.73,0
8.46,8.31,1
6.91,3.88,0
7.77,6.41,1
9.12,8.68,1
5.87,2.15,0
8.79,8.92,1
7.52,6.16,1
6.27,3.95,0
8.64,7.72,1
7.46,5.71,1
9.18,9.44,1
5.84,1.82,0
8.52,8.22,1
6.74,3.29,0
7.61,6.08,1
9.07,8.83,1
5.69,1.77,0
8.97,8.58,1
7.35,5.95,1
6.13,3.67,0
8.76,7.55,1
7.84,6.32,1
5.94,2.48,0
8.89,9.05,1
7.21,4.75,1
9.32,9.67,1
5.83,2.17,0
8.62,8.35,1
6.88,3.52,0
7.79,6.38,1
9.21,8.77,1
5.95,2.81,0
8.81,8.88,1
7.49,6.42,1
6.16,3.88,0
8.67,7.94,1
7.41,5.63,1
9.14,9.28,1
5.79,1.59,0
8.73,8.44,1
7.56,6.24,1
6.02,3.45,0
8.84,7.78,1
7.63,6.12,1
5.91,2.37,0
8.91,9.22,1
7.32,4.99,1
9.28,9.51,1
5.86,2.62,0
8.49,8.19,1
6.79,3.71,0
7.73,6.54,1
9.17,8.62,1
5.89,2.06,0
8.83,8.95,1
7.53,6.35,1
6.24,3.92,0
8.62,7.88,1
7.48,5.77,1
9.12,9.39,1
5.76,1.84,0
8.57,8.32,1
6.71,3.46,0
7.64,6.17,1
9.08,8.79,1
5.74,2.01,0
8.94,8.53,1
7.37,6.02,1
6.11,3.59,0
8.73,7.61,1
7.81,6.41,1
5.88,2.28,0
8.85,9.12,1
7.24,4.83,1
9.31,9.48,1
5.81,2.44,0
8.59,8.46,1
6.85,3.68,0
7.76,6.27,1
9.14,8.81,1
5.92,2.18,0
8.78,8.89,1
7.46,6.22,1
6.21,3.84,0
8.65,7.83,1
7.44,5.74,1
9.16,9.41,1
5.78,1.96,0
8.61,8.38,1
6.69,3.31,0
7.68,6.13,1
9.05,8.72,1
5.75,2.12,0
8.95,8.56,1
7.39,5.97,1
6.07,3.52,0
8.79,7.73,1
7.66,6.21,1
5.93,2.34,0
8.87,9.07,1
7.28,4.91,1
9.27,9.33,1
5.77,2.27,0
